"geolocation_zip_code_prefix,""geolocation_lat"",""geolocation_lng"",""geolocation_city"",""geolocation_state"""
01037,-23.54562128115268,-46.63929204800168,sao paulo,SP
01046,-23.546081127035535,-46.64482029837157,sao paulo,SP
01046,-23.54612896641469,-46.64295148361138,sao paulo,SP
01041,-23.5443921648681,-46.63949930627844,sao paulo,SP
01035,-23.541577961711493,-46.64160722329613,sao paulo,SP
01012,-23.547762303364266,-46.63536053788448,s?œo paulo,SP
01047,-23.546273112412678,-46.64122516971552,sao paulo,SP
01013,-23.546923208436723,-46.6342636964915,sao paulo,SP
01029,-23.543769055769133,-46.63427784085132,sao paulo,SP
01011,-23.547639550320632,-46.63603162315495,sao paulo,SP
01013,-23.547325128224376,-46.63418378613892,sao paulo,SP
01032,-23.53841810407414,-46.634778375266734,sao paulo,SP
01014,-23.546435343326205,-46.63383023397196,sao paulo,SP
01012,-23.548945985189434,-46.63467113292871,sao paulo,SP
01037,-23.545187340816042,-46.63785524104107,s?œo paulo,SP
01046,-23.546081127035535,-46.64482029837157,sao paulo,SP
01039,-23.541883009983316,-46.63991946670314,sao paulo,SP
01024,-23.541389521053937,-46.629899087812184,s?œo paulo,SP
01009,-23.54693540437998,-46.63658792659698,sao paulo,SP
01046,-23.545884279214015,-46.643163191240035,sao paulo,SP
01046,-23.545165891770928,-46.643785796266464,sao paulo,SP
01020,-23.55223547100232,-46.6284406588955,s?œo paulo,SP
01011,-23.546690486964888,-46.635446958807194,s?œo paulo,SP
01043,-23.546656718016017,-46.64078762115524,s?œo paulo,SP
01050,-23.549773516504185,-46.64559900666509,sao paulo,SP
01045,-23.541593762969626,-46.64189378810082,sao paulo,SP
01009,-23.545429533441073,-46.63571531432852,sao paulo,SP
01007,-23.550392524842728,-46.637301640717844,sao paulo,SP
01032,-23.5398418758395,-46.63514797691531,s?œo paulo,SP
01041,-23.543539449073783,-46.64057731057763,sao paulo,SP
01005,-23.549819091869107,-46.63560588995324,sao paulo,SP
01037,-23.546704599774962,-46.64033633250615,s?œo paulo,SP
01017,-23.55001091199737,-46.63116636914989,s?œo paulo,SP
01046,-23.54532011933758,-46.64406863434122,sao paulo,SP
01019,-23.552151883432384,-46.63080224715792,sao paulo,SP
01032,-23.540774688874112,-46.63551484303775,sao paulo,SP
01017,-23.5492954052167,-46.63207469510652,sao paulo,SP
01050,-23.549009406053422,-46.642812281839745,sao paulo,SP
01050,-23.548755593946588,-46.642789203733535,sao paulo,SP
01027,-23.538301166801343,-46.63076391104508,sao paulo,SP
01050,-23.54985418067981,-46.643139396906825,sao paulo,SP
01013,-23.547119249235397,-46.634232699405686,sao paulo,SP
01033,-23.54032130474925,-46.636394815973325,sao paulo,SP
01009,-23.54569153926945,-46.635866061486446,sao paulo,SP
01046,-23.546081127035535,-46.64482029837157,sao paulo,SP
01050,-23.54874766250217,-46.64239136704376,sao paulo,SP
01032,-23.541191476542252,-46.63499346058632,sao paulo,SP
01020,-23.552549496537548,-46.63163152553523,sao paulo,SP
01006,-23.55052430835593,-46.63669363835193,sao paulo,SP
01034,-23.542391627195926,-46.63770927785183,sao paulo,SP
01020,-23.552482452132203,-46.62938955675458,sao paulo,SP
01047,-23.54660531805078,-46.641982174447385,sao paulo,SP
01042,-23.544873598101518,-46.64030309449483,sao paulo,SP
01034,-23.542908915344253,-46.63679724785041,sao paulo,SP
01047,-23.54599881709849,-46.640834743407,sao paulo,SP
01035,-23.540204555658082,-46.644147057043064,sao paulo,SP
01027,-23.538670334439413,-46.62934557285476,sao paulo,SP
01046,-23.546381972243076,-46.642893706619056,s?œo paulo,SP
01042,-23.545051649171974,-46.64007245239201,sao paulo,SP
01040,-23.540316757429707,-46.63735536871719,sao paulo,SP
01046,-23.54639669248079,-46.643059340556235,sao paulo,SP
01017,-23.54981334999131,-46.63035027254893,sao paulo,SP
01026,-23.539494799586286,-46.632843914149746,s?œo paulo,SP
01033,-23.539147179866543,-46.635832364623674,sao paulo,SP
01036,-23.541700023861782,-46.64131782056096,sao paulo,SP
01046,-23.546081127035535,-46.64482029837157,sao paulo,SP
01009,-23.54693540437998,-46.63658792659698,sao paulo,SP
01046,-23.546081127035535,-46.64482029837157,sao paulo,SP
01047,-23.546774768769353,-46.64251431141433,s?œo paulo,SP
01045,-23.542925000621707,-46.643423947383695,sao paulo,SP
01014,-23.547082268784923,-46.63340844117833,sao paulo,SP
01048,-23.547448918662464,-46.64016924063704,s?œo paulo,SP
01046,-23.54532011933758,-46.64406863434122,sao paulo,SP
01002,-23.54831797807146,-46.63542110199666,sao paulo,SP
01033,-23.536156075768947,-46.63565005635056,sao paulo,SP
01048,-23.547052131282804,-46.639477959749584,sao paulo,SP
01014,-23.546453343326203,-46.63394723397195,sao paulo,SP
01031,-23.536864121011018,-46.63349313820771,sao paulo,SP
01029,-23.54130569969415,-46.63285261754857,sao paulo,SP
01050,-23.54985418067981,-46.643139396906825,sao paulo,SP
01032,-23.540774688874112,-46.63551484303775,sao paulo,SP
01031,-23.537304315614186,-46.633862438491114,sao paulo,SP
01046,-23.546081127035535,-46.64482029837157,sao paulo,SP
01022,-23.544986605055076,-46.63345367485142,sao paulo,SP
01008,-23.54425493154535,-46.634639135589296,sao paulo,SP
01009,-23.546340513734233,-46.636238503202634,sao paulo,SP
01048,-23.547448918662464,-46.64016924063704,s?œo paulo,SP
01010,-23.547806958346342,-46.63612181853806,sao paulo,SP
01020,-23.552533361648077,-46.62960898251487,sao paulo,SP
01036,-23.541700023861782,-46.64131782056096,sao paulo,SP
01003,-23.54903244546711,-46.63531311226845,sao paulo,SP
01013,-23.547325128224376,-46.63418378613892,sao paulo,SP
01045,-23.542303065497162,-46.64280268887412,sao paulo,SP
01013,-23.547686322234377,-46.6341397692307,s?œo paulo,SP
01046,-23.546081127035535,-46.64482029837157,sao paulo,SP
01046,-23.54612896641469,-46.64295148361138,sao paulo,SP
01042,-23.544667372468112,-46.64066942714524,s?œo paulo,SP
01009,-23.546340513734233,-46.636238503202634,sao paulo,SP
01050,-23.549107326677785,-46.644104604074144,s?œo paulo,SP
01001,-23.54929199999999,-46.633559478233785,sao paulo,SP
01026,-23.53984025062037,-46.6302639919499,sao paulo,SP
01014,-23.54631891978764,-46.63343055730286,sao paulo,SP
01009,-23.546340513734233,-46.636238503202634,sao paulo,SP
01043,-23.545013657510516,-46.641993024150246,sao paulo,SP
01050,-23.549107326677785,-46.644104604074144,s?œo paulo,SP
01014,-23.546940580846673,-46.633311921420805,sao paulo,SP
01047,-23.546273112412678,-46.64122516971552,sao paulo,SP
01032,-23.537019709129215,-46.63435857175824,sao paulo,SP
01050,-23.550449207051752,-46.64324288827981,sao paulo,SP
01017,-23.548851827918533,-46.63120714847948,sao paulo,SP
01015,-23.544826346129778,-46.63086956396899,sao paulo,SP
01032,-23.537019709129215,-46.63435857175824,sao paulo,SP
01039,-23.5406861987132,-46.638296449218,sao paulo,SP
01008,-23.545341492094142,-46.63558668567147,sao paulo,SP
01005,-23.549819091869107,-46.63560588995324,sao paulo,SP
01046,-23.546252957116764,-46.64521736309942,sao paulo,SP
01026,-23.53984025062037,-46.6302639919499,sao paulo,SP
01045,-23.542925000621707,-46.643423947383695,sao paulo,SP
01024,-23.54186295323959,-46.630035294315356,sao paulo,SP
